Instance,country,region_code,region_name,latitude,longitude,location_geom,total_hospitalized_patients,recovered,deaths
139,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1047,146
140,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1047,146
141,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1047,146
142,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1046,146
143,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1048,146
144,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1048,146
145,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1048,146
146,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1048,146
147,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1047,146
148,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1049,146
149,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1049,146
150,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1049,146
151,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1049,146
152,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1049,146
153,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1049,146
154,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1049,146
155,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1049,146
156,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1049,146
157,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1049,146
158,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1050,146
159,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1050,146
160,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1050,146
161,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1050,146
162,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1050,146
163,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1050,146
164,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1051,146
165,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1051,146
166,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1051,146
167,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1051,146
168,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1056,146
169,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1056,146
170,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1056,146
171,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1056,146
172,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1057,146
173,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1058,146
174,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1060,146
175,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1062,146
176,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1064,146
177,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1064,146
178,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1064,146
179,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1064,146
180,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1064,146
181,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1064,146
182,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1064,146
183,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1064,146
184,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1064,146
185,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,1065,146
186,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),0,1065,146
187,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1065,146
188,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1065,146
189,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1063,146
190,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1064,146
191,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1065,146
192,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1065,146
193,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1065,146
194,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1068,146
195,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1069,146
196,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1069,146
197,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),1,1069,146
198,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1069,146
199,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1074,146
200,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1077,146
201,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),2,1078,146
202,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1078,146
203,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1078,146
204,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1078,146
205,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1078,146
206,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1079,146
207,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1081,146
208,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),6,1081,146
209,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),6,1082,146
210,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1082,146
211,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1087,146
212,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1087,146
213,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1080,146
214,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1085,146
215,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1087,146
216,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1087,146
217,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1087,146
218,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),3,1089,146
219,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),4,1093,146
220,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),6,1093,146
221,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),7,1100,146
222,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),8,1103,146
223,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),7,1105,146
224,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),6,1106,146
225,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),7,1107,146
226,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),6,1112,146
227,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1113,146
228,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),5,1116,146
229,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),6,1117,146
230,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),9,1120,146
231,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),11,1121,146
232,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),12,1125,146
233,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),14,1125,146
234,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),16,1125,146
235,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),17,1127,146
236,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),17,1132,146
237,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),19,1134,146
238,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),22,1137,146
239,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),30,1142,146
240,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),41,1150,146
241,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),47,1155,146
242,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),51,1165,149
243,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),53,1166,149
244,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),60,1183,152
245,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),65,1191,153
246,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),77,1199,154
247,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),106,1203,156
248,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),114,1216,157
249,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),127,1235,162
250,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),134,1253,166
251,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),153,1259,168
252,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),173,1281,174
253,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),179,1306,179
254,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),183,1361,180
255,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),163,1415,181
256,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),172,1493,189
257,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),167,1600,195
258,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),168,1697,202
259,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),172,1758,205
260,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),174,1863,207
261,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),176,1946,218
262,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),177,2031,225
263,ITA,2,Valle d'Aosta,45.73750286,7.320149366,POINT(7.320149366 45.73750286),175,2186,231
